candidate_id,title,decision,reason_code,canonical_id,source_url,checked_at,notes
3dllm-mem-2025,3DLLM-Mem: Long-Term Spatial-Temporal Memory for Embodied 3D Large Language Model,EXCLUDED,EMBODIED_ADJACENT,https://proceedings.neurips.cc/paper_files/paper/2025/hash/61f527a737e4ba61f3e10d6c3f0c4b55-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/hash/61f527a737e4ba61f3e10d6c3f0c4b55-Abstract-Conference.html,2026-08-11,收敛轮 3 独立全文复核：3D 时空记忆完整但高度依赖视觉特征与具身任务；主地图已有 Voyager 作为具身桥接，避免路线向视觉导航漂移。
a01,Language Models as Knowledge Bases?,INCLUDED,INCLUDE_REPRESENTATIVE,10.18653/v1/D19-1250,https://aclanthology.org/D19-1250/,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=background
a02,Transformer Feed-Forward Layers Are Key-Value Memories,INCLUDED,INCLUDE_REPRESENTATIVE,10.18653/v1/2021.emnlp-main.446,https://aclanthology.org/2021.emnlp-main.446/,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a03,Editing Factual Knowledge in Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,10.18653/v1/2021.emnlp-main.522,https://aclanthology.org/2021.emnlp-main.522/,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=bridge
a04,Fast Model Editing at Scale,INCLUDED,INCLUDE_REPRESENTATIVE,2110.11309,https://iclr.cc/virtual/2022/poster/6846,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a05,Locating and Editing Factual Associations in GPT,INCLUDED,INCLUDE_REPRESENTATIVE,10.52202/068431-1262,https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a06,Mass-Editing Memory in a Transformer,INCLUDED,INCLUDE_REPRESENTATIVE,2210.07229,https://iclr.cc/virtual/2023/poster/11880,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a07,WISE: Rethinking the Knowledge Memory for Lifelong Model Editing of Large Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,10.52202/079017-1703,https://proceedings.neurips.cc/paper_files/paper/2024/hash/60960ad78868fce5c165295fbd895060-Abstract-Conference.html,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a08,AlphaEdit: Null-Space Constrained Knowledge Editing for Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,2410.02355,https://proceedings.iclr.cc/paper_files/paper/2025/hash/29c8c615b3187ee995029284702d3f43-Abstract-Conference.html,2026-08-11,主路线=parametric；层级=3；状态=peer-reviewed；优先级=core
a09,Does Localization Inform Editing? Surprising Differences in Causality-Based Localization vs. Knowledge Editing in Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,2301.04213,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3927bbdcf0e8d1fa8aa23c26f358a281-Abstract-Conference.html,2026-08-11,主路线=evaluation；层级=3；状态=peer-reviewed；优先级=core
a10,MQuAKE: Assessing Knowledge Editing in Language Models via Multi-Hop Questions,INCLUDED,INCLUDE_REPRESENTATIVE,10.18653/v1/2023.emnlp-main.971,https://aclanthology.org/2023.emnlp-main.971/,2026-08-11,主路线=evaluation；层级=3；状态=peer-reviewed；优先级=core
a11,Evaluating the Ripple Effects of Knowledge Editing in Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,10.1162/tacl_a_00644,https://aclanthology.org/2024.tacl-1.16/,2026-08-11,主路线=evaluation；层级=3；状态=peer-reviewed；优先级=core
a12,Transformer-XL: Attentive Language Models beyond a Fixed-Length Context,INCLUDED,INCLUDE_REPRESENTATIVE,10.18653/v1/P19-1285,https://aclanthology.org/P19-1285/,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a13,Compressive Transformers for Long-Range Sequence Modelling,INCLUDED,INCLUDE_REPRESENTATIVE,1911.05507,https://iclr.cc/virtual/2020/poster/1602,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a14,Memorizing Transformers,INCLUDED,INCLUDE_REPRESENTATIVE,2203.08913,https://iclr.cc/virtual/2022/poster/6064,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=bridge
a15,Block-Recurrent Transformers,INCLUDED,INCLUDE_REPRESENTATIVE,2203.07852,https://proceedings.neurips.cc/paper_files/paper/2022/hash/d6e0bbb9fc3f4c10950052ec2359355c-Abstract-Conference.html,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a16,Recurrent Memory Transformer,INCLUDED,INCLUDE_REPRESENTATIVE,2207.06881,https://proceedings.neurips.cc/paper_files/paper/2022/hash/47e288629a6996a17ce50b90a056a0e1-Abstract-Conference.html,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a17,Augmenting Language Models with Long-Term Memory,INCLUDED,INCLUDE_REPRESENTATIVE,10.52202/075280-3259,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ebd82705f44793b6f9ade5a669d0f0bf-Abstract-Conference.html,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a18,MEMORYLLM: Towards Self-Updatable Large Language Models,INCLUDED,INCLUDE_REPRESENTATIVE,2402.04624,https://proceedings.mlr.press/v235/wang24s.html,2026-08-11,主路线=contextual；层级=3；状态=peer-reviewed；优先级=core
a19,Leave No Context Behind: Efficient Infinite Context Transformers with Infini-attention,INCLUDED,INCLUDE_REPRESENTATIVE,2404.07143,https://arxiv.org/abs/2404.07143,2026-08-11,主路线=contextual；层级=1；状态=preprint；优先级=bridge
a20,Learning to (Learn at Test Time): RNNs with Expressive Hidden States,INCLUDED,INCLUDE_REPRESENTATIVE,2407.04620,https://proceedings.mlr.press/v267/sun25h.html,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a21,Titans: Learning to Memorize at Test Time,INCLUDED,INCLUDE_REPRESENTATIVE,2501.00663,https://papers.neurips.cc/paper_files/paper/2025/hash/a4ca07aa108036f80cbb5b82285fd4b1-Abstract-Conference.html,2026-08-11,主路线=contextual；层级=1；状态=peer-reviewed；优先级=core
a22,Lost in the Middle: How Language Models Use Long Contexts,INCLUDED,INCLUDE_REPRESENTATIVE,10.1162/tacl_a_00638,https://aclanthology.org/2024.tacl-1.9/,2026-08-11,主路线=evaluation；层级=0；状态=peer-reviewed；优先级=core
