id,title,title_local,year,venue,status,source_type,primary_route,routes,level,tier,evidence_level,paper_url,doi,code_url,project_url,data_url,figure_url,source_note
dkme-2026,DKME: Rethinking Coupled Knowledge Memory for Lifelong Model Editing of Large Language Models,DKME：重思大语言模型终身编辑中的耦合知识记忆,2026,Findings of ACL 2026,peer-reviewed,paper,parametric,parametric|evaluation,3,core,A,https://aclanthology.org/2026.findings-acl.792/,10.18653/v1/2026.findings-acl.792,,,,,一手正式入口为 ACL Anthology；已核对全文第 4–6 节、图 2、表 2–5 与局限部分。数值只用于论文报告的模型、数据和编辑流。
stableedit-2026,"More Edits, More Stable: Understanding the Lifelong Normalization in Sequential Model Editing",编辑越多，反而越稳定：理解连续模型编辑中的持续归一化,2026,ICML 2026,peer-reviewed,paper,parametric,parametric|evaluation,3,core,A,https://icml.cc/virtual/2026/poster/64339,,,,,,ICML 官方海报页核验出版状态；arXiv v2 全文核验机制、表格、消融和理论边界。
zk-apex-2026,ZK-APEX: Zero-Knowledge Approximate Personalized Unlearning with Executable Proofs,ZK-APEX：带可执行证明的零知识近似个性化遗忘,2026,MLSys 2026,peer-reviewed,conference paper,parametric,parametric|evaluation|personal,3,bridge,B,https://proceedings.mlsys.org/paper_files/paper/2026/hash/148865706acbd18627d3fc15cc3f3b93-Abstract-Conference.html,,,,,,删除边界按原文降敏记录；不把过程证明误写成语义证明。
a08,AlphaEdit: Null-Space Constrained Knowledge Editing for Language Models,零空间约束的语言模型知识编辑,2025,ICLR 2025 Oral,peer-reviewed,conference-paper,parametric,parametric,3,core,A,https://proceedings.iclr.cc/paper_files/paper/2025/hash/29c8c615b3187ee995029284702d3f43-Abstract-Conference.html,,https://github.com/jianghoucheng/AlphaEdit,https://openreview.net/forum?id=HvSytvg3Jh,,,正式版作者列表与早期 arXiv 不同，本记录采用 ICLR 正式版。
anyedit-2025,AnyEdit: Edit Any Knowledge Encoded in Language Models,AnyEdit：编辑语言模型中任意形式的知识,2025,ICML 2025,peer-reviewed,paper,parametric,parametric|evaluation,3,core,A,https://proceedings.mlr.press/v267/jiang25b.html,,,https://github.com/jianghoucheng/AnyEdit,,,一手正式入口为 PMLR 的 ICML 2025 论文页；以正式全文和 arXiv v3 交叉核对第 3 至7节、图 1、图 4至5、表 1至2及附录。百分比不外推到论文未测试模型或部署环境。
ssu-copyright-2025,Avoiding Copyright Infringement via Large Language Model Unlearning,通过大模型遗忘避免版权侵权,2025,Findings of NAACL 2025,peer-reviewed,paper,parametric,parametric|evaluation,3,core,B,https://aclanthology.org/2025.findings-naacl.288/,10.18653/v1/2025.findings-naacl.288,,,,,ACL Anthology正式页核验题名、作者、页码和DOI；正式全文核验方法、表图、消融与局限。
unke-2025,Everything is Editable: Extend Knowledge Editing to Unstructured Data in Large Language Models,一切皆可编辑：将大模型知识编辑扩展到非结构化数据,2025,ICLR 2025,peer-reviewed,paper,parametric,parametric|evaluation,3,bridge,A,https://proceedings.iclr.cc/paper_files/paper/2025/hash/02763667a5761ff92bb15d8751bcd223-Abstract-Conference.html,,,,,,正式全文支持非结构化编辑这一独特数据形态，但已有编辑核心路线，故保留为 bridge。
memory-layers-scale-2025,Memory Layers at Scale,规模化记忆层,2025,"ICML 2025, PMLR 267:3831–3842",peer-reviewed,conference-paper,parametric,parametric,3,core,A,https://proceedings.mlr.press/v267/berges25a.html,,,,,,ICML 2025 / PMLR 267 正式页和 PDF 全文核验；把无额外 FLOPs 限定为论文的机制比较，不外推为零带宽、零工程或零端到端成本。
glame-2024,Knowledge Graph Enhanced Large Language Model Editing,知识图增强的大语言模型编辑,2024,EMNLP 2024,peer-reviewed,paper,parametric,parametric|retrieval|evaluation,3,bridge,A,https://aclanthology.org/2024.emnlp-main.1261/,10.18653/v1/2024.emnlp-main.1261,,,,,一手正式入口为 ACL Anthology；已核对全文方法、主表、消融和局限。论文报告的是受控编辑任务，不等同于真实世界知识同步。
larimar-2024,Larimar: Large Language Models with Episodic Memory Control,Larimar：带情景记忆控制的大语言模型,2024,"ICML 2024, PMLR 235",peer-reviewed,paper,parametric,parametric|retrieval|evaluation,3,core,A,https://proceedings.mlr.press/v235/das24a.html,,,,,,题名、作者、正式 ICML 状态、机制、表格数值与限制均由 PMLR 正式页和全文核验。 独立合并审计将方法自身实验的直接性校准为 D2；D3 仅保留给独立验证或反驳。
