claim_id,claim_text,paper_id,evidence_location,V,D,P,Q,audit_status,notes
C01,完形提示表明预训练参数中存在可访问的关系知识但不等于可靠知识库,a01,ACL Anthology 正式摘要,V2,D2,P2,Q2,VERIFIED,作者直接实验；可靠性限定由 C02 提供
C02,早期参数知识抽取成绩可被提示偏差、实体类型线索和答案泄漏显著夸大,knowledgeable-educated-guess-2021,ACL 正文第 3–5 节、Tables 1–7 与 Figure 6,V3,D3,P3,Q3,VERIFIED,全文反证；论文只覆盖掩码语言模型，不直接外推到所有生成模型
C03,ROME 用因果追踪定位主语令牌处的中层前馈模块并执行秩一更新,a05,NeurIPS 正式论文第 2.1–3.1 节、Figure 2、Figure 4 与 Eq. (2)–(4),V3,D2,P2,Q2,VERIFIED,机制与局限已由全文复核；不把定位外推为最佳编辑层预测
C04,因果定位结果不能稳定预测哪一前馈层最适合编辑,a09,NeurIPS 正式摘要与全文实验,V3,D3,P2,Q2,VERIFIED,对“定位自然指导编辑”的独立反证
C05,多种知识编辑器能召回目标事实却在依赖该事实的多跳问题上严重失效,a10,ACL Anthology 正式摘要与基准部分,V3,D3,P2,Q2,VERIFIED,直接比较目标召回与多跳利用
C06,主流知识编辑器很难让相关事实产生一致的涟漪更新,a11,TACL 正文第 3–5 节与 Tables 1–6；摘要称 5K 编辑而正文三组表列合计 4K,V3,D3,P2,Q2,VERIFIED,反证；版本内样本数冲突已显式保留，不把任一数字写成无争议事实
C07,所测四种知识编辑方法在三个模型和八类任务上总体呈现通用能力下降但强度随方法、模型和任务变化,model-editing-harms-2024,EMNLP 正文第 4.1–4.4 节、Figures 3–5 与 Table 1,V3,D3,P3,Q3,VERIFIED,作者比较；不把特定灾难性案例或 RECT 的可靠性与泛化保持率外推为统一规律
C08,常规编辑指标近乎满分时被编辑模型仍可在特定前缀下恢复原知识,superficial-editing-2025,ACL 正文第 2–4 节、Tables 1–4 与 Figures 2–5,V3,D3,P3,Q3,VERIFIED,反证；早层主要抑制新答案，旧答案在后层注意整合后反超，不能外推为所有部署必然触发
C09,Transformer-XL 通过段级循环缓解固定片段的上下文碎片问题,a12,ACL 正式摘要与论文方法部分,V3,D2,P2,Q2,VERIFIED,奠基机制主张
C10,循环记忆 Transformer 的“理论无限”不等于实际记忆令牌容量无限,a16,NeurIPS PDF 结论第 9 页与引言,V3,D2,P2,Q2,VERIFIED,作者明确限定理论性质与实际访问瓶颈
